age,overall,potential,age_potential_gap,is_at_peak,pace,shooting,passing,dribbling,defending,physic,position_group_GK,position_group_DEF,position_group_MID,position_group_ATT,log_value,short_name,market_value_eur,value_per_rating
23,72,82,10,0,78.0,34.0,60.0,63.0,70.0,77.0,0,1,0,0,15.404745967162468,A. Ahmedhodžić,4900000.0,67123.28767123287
21,61,69,8,0,55.0,31.0,41.0,48.0,62.0,61.0,0,1,0,0,13.45883704259595,A. Aidonis,700000.0,11290.322580645161
17,59,76,17,0,70.0,53.0,48.0,64.0,25.0,39.0,0,0,1,0,13.217675375388819,A. Aiki,550000.0,9166.666666666666
18,59,74,15,0,69.0,63.0,43.0,60.0,18.0,51.0,0,0,0,1,13.171155446333852,A. Aires,525000.0,8750.0
20,69,79,10,0,73.0,58.0,68.0,76.0,44.0,63.0,0,0,1,0,14.946912992035967,A. Ait El Hadj,3100000.0,44285.71428571428
25,69,73,4,0,71.0,69.0,55.0,66.0,28.0,67.0,0,0,0,1,14.508658238524095,A. Ajeti,2000000.0,28571.428571428572
22,65,73,8,0,81.0,66.0,48.0,60.0,20.0,70.0,0,0,0,1,14.285514812209815,A. Akinola,1600000.0,24242.424242424244
20,62,74,12,0,73.0,29.0,46.0,56.0,58.0,55.0,0,1,0,0,13.73755009757506,A. Akurugu,925000.0,14682.539682539682
27,58,61,3,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.206077645517674,A. Al Aamri,200000.0,3389.830508474576
25,64,68,4,0,68.0,58.0,62.0,65.0,38.0,52.0,0,0,1,0,13.73755009757506,A. Al Ahrak,925000.0,14230.76923076923
25,55,59,4,0,71.0,25.0,49.0,50.0,48.0,59.0,0,1,0,0,11.982935344196433,A. Al Alawi,160000.0,2857.1428571428573
28,66,66,0,1,74.0,47.0,63.0,66.0,59.0,65.0,0,1,0,0,13.560619598657233,A. Al Ammar,775000.0,11567.164179104477
25,71,76,5,0,70.0,30.0,50.0,48.0,68.0,82.0,0,1,0,0,14.731801689838349,A. Al Amri,2500000.0,34722.22222222222
18,56,73,17,0,81.0,36.0,51.0,59.0,52.0,63.0,0,0,1,0,12.765691290604371,A. Al Ayeri,350000.0,6140.350877192983
31,62,62,0,1,57.0,46.0,54.0,60.0,59.0,71.0,0,0,1,0,12.524530013005734,A. Al Barakah,275000.0,4365.079365079365
20,52,64,12,0,63.0,51.0,42.0,50.0,21.0,60.0,0,0,0,1,12.154784614286667,A. Al Bishi,190000.0,3584.9056603773583
23,61,67,6,0,66.0,38.0,41.0,36.0,62.0,67.0,0,1,0,0,13.07107218827772,A. Al Bishi,475000.0,7661.290322580645
28,69,69,0,1,89.0,59.0,62.0,72.0,28.0,65.0,0,0,1,0,14.151983508870947,A. Al Bishi,1400000.0,20000.0
27,58,58,0,1,73.0,34.0,52.0,54.0,54.0,62.0,0,1,0,0,12.206077645517674,A. Al Bukhari,200000.0,3389.830508474576
32,69,69,0,1,48.0,37.0,38.0,44.0,67.0,81.0,0,1,0,0,13.710151153416941,A. Al Bulayhi,900000.0,12857.142857142857
24,59,61,2,0,69.0,43.0,60.0,63.0,45.0,53.0,0,0,0,1,12.611541086966115,A. Al Burayh,300000.0,5000.0
17,46,63,17,0,61.0,22.0,26.0,32.0,45.0,57.0,0,1,0,0,11.608244735642321,A. Al Dhafeeri,110000.0,2340.425531914894
28,61,61,0,1,64.0,41.0,45.0,48.0,59.0,71.0,0,1,0,0,12.524530013005734,A. Al Dohaim,275000.0,4435.4838709677415
19,50,64,14,0,66.0,42.0,43.0,53.0,25.0,45.0,0,0,0,1,11.608244735642321,A. Al Enazi,110000.0,2156.8627450980393
28,64,64,0,1,73.0,46.0,51.0,54.0,63.0,72.0,0,1,0,0,13.122365377402328,A. Al Fahad,500000.0,7692.307692307692
20,58,71,13,0,82.0,47.0,51.0,62.0,41.0,59.0,0,0,1,0,13.122365377402328,A. Al Ghamdi,500000.0,8474.57627118644
29,58,58,0,1,50.0,32.0,36.0,48.0,58.0,68.0,0,1,0,0,12.04355959836804,A. Al Habib,170000.0,2881.35593220339
29,64,64,0,1,33.0,36.0,49.0,45.0,63.0,74.0,0,1,0,0,13.122365377402328,A. Al Hafith,500000.0,7692.307692307692
25,60,65,5,0,85.0,50.0,52.0,61.0,52.0,61.0,0,1,0,0,12.691583538230217,A. Al Haider,325000.0,5327.868852459016
21,54,63,9,0,76.0,54.0,44.0,52.0,24.0,58.0,0,0,0,1,12.388398368982115,A. Al Haizan,240000.0,4363.636363636364
26,56,59,3,0,65.0,39.0,49.0,52.0,53.0,55.0,0,1,0,0,12.04355959836804,A. Al Hajeri,170000.0,2982.4561403508774
26,60,61,1,0,66.0,56.0,59.0,62.0,51.0,58.0,0,0,1,0,12.611541086966115,A. Al Hajji,300000.0,4918.0327868852455
22,62,71,9,0,73.0,60.0,57.0,60.0,34.0,65.0,0,0,0,1,13.710151153416941,A. Al Hamdan,900000.0,14285.714285714286
33,59,59,0,1,54.0,37.0,50.0,45.0,60.0,65.0,0,1,0,0,11.608244735642321,A. Al Harbi,110000.0,1833.3333333333333
18,53,73,20,0,76.0,35.0,45.0,49.0,50.0,67.0,0,0,1,0,12.429220196836383,A. Al Hassan,250000.0,4629.62962962963
25,66,71,5,0,66.0,51.0,60.0,63.0,61.0,71.0,0,0,1,0,13.910821646859095,A. Al Hassan,1100000.0,16417.910447761195
23,58,63,5,0,77.0,49.0,55.0,63.0,39.0,50.0,0,0,1,0,12.611541086966115,A. Al Hejaili,300000.0,5084.745762711865
25,59,64,5,0,56.0,43.0,51.0,57.0,58.0,58.0,0,0,1,0,12.611541086966115,A. Al Hurabi,300000.0,5000.0
30,59,59,0,1,63.0,47.0,56.0,58.0,56.0,68.0,0,0,1,0,12.154784614286667,A. Al Hurib,190000.0,3166.6666666666665
30,61,61,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.301387370778713,A. Al Jadaani,220000.0,3548.3870967741937
26,57,58,1,0,91.0,47.0,47.0,59.0,47.0,55.0,0,1,0,0,12.100717685412471,A. Al Jamaan,180000.0,3103.448275862069
32,63,63,0,1,39.0,58.0,62.0,60.0,62.0,68.0,0,0,1,0,12.691583538230217,A. Al Jebreen,325000.0,5078.125
27,65,65,0,1,81.0,60.0,59.0,67.0,22.0,45.0,0,0,1,0,13.527829818844937,A. Al Joui,750000.0,11363.636363636364
25,67,72,5,0,64.0,43.0,59.0,63.0,65.0,70.0,0,0,1,0,14.151983508870947,A. Al Khaibari,1400000.0,20588.235294117647
27,63,65,2,0,71.0,26.0,43.0,54.0,61.0,71.0,0,1,0,0,13.122365377402328,A. Al Khatib,500000.0,7812.5
25,62,65,3,0,85.0,49.0,54.0,67.0,22.0,37.0,0,0,0,1,13.171155446333852,A. Al Khulaif,525000.0,8333.333333333334
27,69,70,1,0,66.0,57.0,63.0,63.0,66.0,74.0,0,0,1,0,14.151983508870947,A. Al Malki,1400000.0,20000.0
35,70,70,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.100717685412471,A. Al Mayoof,180000.0,2535.211267605634
22,56,64,8,0,59.0,34.0,45.0,49.0,55.0,64.0,0,1,0,0,12.611541086966115,A. Al Mohaimmed,300000.0,5263.1578947368425
22,53,62,9,0,69.0,37.0,45.0,53.0,47.0,52.0,0,1,0,0,12.206077645517674,A. Al Muzayil,200000.0,3703.703703703704
25,62,65,3,0,78.0,55.0,60.0,64.0,44.0,54.0,0,0,0,1,13.171155446333852,A. Al Najjar,525000.0,8333.333333333334
20,56,72,16,0,52.0,31.0,47.0,47.0,55.0,65.0,0,0,1,0,12.765691290604371,A. Al Nashri,350000.0,6140.350877192983
30,59,59,0,1,61.0,50.0,59.0,64.0,43.0,51.0,0,0,1,0,12.301387370778713,A. Al Nemer,220000.0,3666.6666666666665
29,63,63,0,1,74.0,58.0,63.0,64.0,55.0,65.0,0,1,0,0,12.959846800844963,A. Al Obaid,425000.0,6640.625
27,67,67,0,1,87.0,61.0,56.0,69.0,45.0,60.0,0,0,1,0,13.910821646859095,A. Al Obud,1100000.0,16176.470588235294
31,62,62,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.25486757159303,A. Al Owayshir,210000.0,3333.3333333333335
29,60,60,0,1,71.0,58.0,58.0,63.0,40.0,54.0,0,0,1,0,12.388398368982115,A. Al Qahtani,240000.0,3934.4262295081967
23,55,63,8,0,69.0,51.0,50.0,56.0,24.0,52.0,0,0,0,1,12.524530013005734,A. Al Qahtani,275000.0,4910.714285714285
27,60,63,3,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.388398368982115,A. Al Ruhaili,240000.0,3934.4262295081967
25,56,59,3,0,63.0,50.0,54.0,57.0,45.0,56.0,0,0,1,0,12.154784614286667,A. Al Saeed,190000.0,3333.3333333333335
29,62,62,0,1,59.0,36.0,57.0,58.0,56.0,70.0,0,0,1,0,12.765691290604371,A. Al Safri,350000.0,5555.555555555556
23,56,61,5,0,69.0,24.0,48.0,52.0,51.0,58.0,0,1,0,0,12.206077645517674,A. Al Salem,200000.0,3508.7719298245615
29,62,62,0,1,61.0,62.0,58.0,60.0,52.0,67.0,0,0,0,1,12.899222326086994,A. Al Salem,400000.0,6349.206349206349
25,57,59,2,0,62.0,41.0,49.0,49.0,53.0,68.0,0,0,1,0,12.100717685412471,A. Al Samtai,180000.0,3103.448275862069
20,52,64,12,0,64.0,33.0,45.0,50.0,49.0,48.0,0,1,0,0,12.100717685412471,A. Al Shaefi,180000.0,3396.2264150943397
27,58,58,0,1,69.0,51.0,58.0,62.0,32.0,52.0,0,0,1,0,12.301387370778713,A. Al Shahrani,220000.0,3728.813559322034
29,64,64,0,1,76.0,40.0,56.0,62.0,59.0,65.0,0,1,0,0,13.171155446333852,A. Al Shamekh,525000.0,8076.923076923077
30,57,57,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,11.608244735642321,A. Al Shammari,110000.0,1896.551724137931
20,52,64,12,0,59.0,36.0,48.0,52.0,49.0,57.0,0,0,1,0,12.100717685412471,A. Al Shammari,180000.0,3396.2264150943397
26,61,62,1,0,75.0,49.0,56.0,63.0,53.0,62.0,0,1,0,0,12.765691290604371,A. Al Shammari,350000.0,5645.1612903225805
23,59,66,7,0,78.0,49.0,58.0,63.0,33.0,43.0,0,0,1,0,13.017005083966255,A. Al Shammari,450000.0,7500.0
23,54,62,8,0,63.0,33.0,39.0,48.0,52.0,66.0,0,1,0,0,12.301387370778713,A. Al Shanqeeti,220000.0,4000.0
28,68,68,0,1,70.0,60.0,67.0,73.0,58.0,63.0,0,0,1,0,13.997832948091215,A. Al Sulayhim,1200000.0,17391.304347826088
28,58,58,0,1,63.0,44.0,57.0,58.0,53.0,53.0,0,0,1,0,12.100717685412471,A. Al Sultan,180000.0,3050.8474576271187
22,56,67,11,0,58.0,25.0,39.0,40.0,55.0,65.0,0,1,0,0,12.611541086966115,A. Al Sultan,300000.0,5263.1578947368425
25,57,61,4,0,84.0,55.0,46.0,58.0,20.0,54.0,0,0,0,1,12.345838935721968,A. Al Yami,230000.0,3965.5172413793102
19,51,67,16,0,68.0,51.0,40.0,51.0,19.0,49.0,0,0,0,1,11.918397239722838,A. Al Yousef,150000.0,2884.6153846153848
32,60,60,0,1,73.0,45.0,53.0,57.0,55.0,59.0,0,1,0,0,12.04355959836804,A. Al Yousef,170000.0,2786.8852459016393
25,57,60,3,0,68.0,39.0,50.0,51.0,53.0,65.0,0,1,0,0,12.206077645517674,A. Al Yousif,200000.0,3448.2758620689656
30,66,66,0,1,82.0,60.0,59.0,69.0,42.0,62.0,0,0,0,1,13.623139877437296,A. Al Zain,825000.0,12313.432835820895
31,64,64,0,1,84.0,65.0,56.0,65.0,30.0,62.0,0,0,1,0,13.07107218827772,A. Al Zaqan,475000.0,7307.692307692308
34,64,64,0,1,58.0,43.0,55.0,61.0,63.0,69.0,0,1,0,0,12.154784614286667,A. Al Zori,190000.0,2923.076923076923
29,60,60,0,1,70.0,49.0,54.0,55.0,54.0,74.0,0,1,0,0,12.301387370778713,A. Al Zubaidi,220000.0,3606.55737704918
24,63,67,4,0,68.0,57.0,64.0,63.0,57.0,73.0,0,0,1,0,13.42246945133505,A. Al-Ammari,675000.0,10546.875
20,67,77,10,0,69.0,26.0,47.0,54.0,67.0,71.0,0,1,0,0,14.557448378884015,A. Al-Dakhil,2100000.0,30882.352941176472
20,57,68,11,0,71.0,56.0,39.0,55.0,18.0,59.0,0,0,0,1,12.834683971615659,A. Al-Hamadi,375000.0,6465.517241379311
18,58,74,16,0,66.0,57.0,40.0,56.0,21.0,57.0,0,0,0,1,13.171155446333852,A. Al-Hamawi,525000.0,8898.305084745763
29,65,65,0,1,81.0,61.0,46.0,65.0,25.0,60.0,0,0,0,1,13.73755009757506,A. Alaaeldin,925000.0,14015.151515151516
22,66,72,6,0,77.0,62.0,63.0,72.0,46.0,60.0,0,0,1,0,14.151983508870947,A. Albanese,1400000.0,20895.5223880597
32,70,70,0,1,61.0,67.0,45.0,61.0,29.0,75.0,0,0,0,1,14.077875591662238,A. Albers,1300000.0,18309.859154929578
17,52,69,17,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.04355959836804,A. Albertsen,170000.0,3207.5471698113206
28,66,66,0,1,62.0,63.0,63.0,60.0,63.0,76.0,0,0,1,0,13.527829818844937,A. Albu,750000.0,11194.029850746268
22,60,67,7,0,73.0,59.0,48.0,62.0,17.0,44.0,0,0,0,1,13.122365377402328,A. Alcaraz,500000.0,8196.72131147541
21,61,72,11,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,13.384729180332174,A. Alcorcel,650000.0,10483.870967741936
39,71,71,0,1,31.0,43.0,52.0,60.0,70.0,72.0,0,1,0,0,12.691583538230217,A. Alcáraz,325000.0,4513.888888888889
21,65,77,12,0,74.0,34.0,46.0,58.0,64.0,71.0,0,1,0,0,14.346139397261565,A. Alese,1700000.0,25757.575757575756
21,58,68,10,0,70.0,34.0,45.0,51.0,56.0,71.0,0,1,0,0,12.959846800844963,A. Ali,425000.0,7203.389830508475
25,72,75,3,0,76.0,74.0,52.0,64.0,23.0,69.0,0,0,0,1,13.73755009757506,A. Ali,925000.0,12671.232876712329
26,69,70,1,0,77.0,69.0,54.0,64.0,23.0,65.0,0,0,0,1,14.346139397261565,A. Alipour,1700000.0,24285.714285714286
29,66,66,0,1,72.0,42.0,62.0,63.0,59.0,74.0,0,1,0,0,13.527829818844937,A. Almici,750000.0,11194.029850746268
18,63,76,13,0,66.0,51.0,66.0,63.0,44.0,46.0,0,0,1,0,13.910821646859095,A. Alvarado,1100000.0,17187.5
23,73,80,7,0,82.0,68.0,68.0,73.0,54.0,69.0,0,0,1,0,15.607270193858982,A. Alvarado,6000000.0,81081.08108108108
22,64,71,7,0,79.0,40.0,63.0,67.0,63.0,58.0,0,0,1,0,13.997832948091215,A. Amade,1200000.0,18461.53846153846
18,56,76,20,0,64.0,27.0,30.0,33.0,54.0,74.0,0,1,0,0,12.834683971615659,A. Amenda,375000.0,6578.9473684210525
23,60,65,5,0,81.0,56.0,45.0,61.0,27.0,64.0,0,0,0,1,12.834683971615659,A. Ammitzbøll,375000.0,6147.540983606557
20,66,76,10,0,83.0,57.0,57.0,74.0,25.0,59.0,0,0,0,1,14.45736497045232,A. Amoo,1900000.0,28358.20895522388
27,68,68,0,1,90.0,68.0,55.0,67.0,26.0,64.0,0,0,0,1,14.077875591662238,A. Anani,1300000.0,18840.579710144928
25,66,68,2,0,70.0,52.0,65.0,61.0,60.0,60.0,0,1,0,0,13.790193775620484,A. Anastasio,975000.0,14552.23880597015
31,64,64,0,1,64.0,48.0,55.0,60.0,62.0,73.0,0,1,0,0,12.899222326086994,A. Andersen,400000.0,6153.846153846154
31,63,63,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.429220196836383,A. Andersson,250000.0,3906.25
25,67,70,3,0,75.0,45.0,60.0,65.0,61.0,67.0,0,1,0,0,13.997832948091215,A. Andersson,1200000.0,17647.058823529413
33,72,72,0,1,77.0,72.0,69.0,73.0,41.0,63.0,0,0,1,0,14.220976332738882,A. Andrade,1500000.0,20547.945205479453
23,69,76,7,0,72.0,51.0,59.0,64.0,68.0,75.0,0,1,0,0,14.77102238760702,A. Andrade,2600000.0,37142.857142857145
16,54,74,20,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.429220196836383,A. Andresen,250000.0,4545.454545454545
26,63,68,5,0,64.0,26.0,37.0,44.0,63.0,70.0,0,1,0,0,13.345508528717259,A. Angulo,625000.0,9765.625
23,66,73,7,0,85.0,59.0,64.0,73.0,53.0,62.0,0,0,1,0,14.346139397261565,A. Antilef,1700000.0,25373.13432835821
21,62,72,10,0,70.0,58.0,58.0,67.0,51.0,60.0,0,0,1,0,13.710151153416941,A. Antunes,900000.0,14285.714285714286
18,46,62,16,0,67.0,44.0,35.0,49.0,16.0,42.0,0,0,0,1,11.695255355062795,A. Anwar,120000.0,2553.191489361702
27,65,66,1,0,75.0,62.0,63.0,71.0,33.0,64.0,0,0,0,1,13.623139877437296,A. Aosman,825000.0,12500.0
19,71,78,7,0,68.0,63.0,71.0,73.0,56.0,60.0,0,0,1,0,15.096444681204078,A. Aouchiche,3600000.0,50000.0
21,65,77,12,0,91.0,61.0,54.0,72.0,28.0,42.0,0,0,1,0,14.403297778421795,A. Appiah,1800000.0,27272.727272727272
30,67,67,0,1,52.0,45.0,55.0,52.0,69.0,75.0,0,1,0,0,13.623139877437296,A. Appindangoye,825000.0,12132.35294117647
27,62,63,1,0,61.0,66.0,42.0,58.0,25.0,54.0,0,0,0,1,13.07107218827772,A. Aranda,475000.0,7539.68253968254
33,65,65,0,1,63.0,69.0,56.0,63.0,22.0,62.0,0,0,0,1,13.017005083966255,A. Araque,450000.0,6818.181818181818
26,68,70,2,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,13.910821646859095,A. Araque,1100000.0,15942.028985507246
19,66,78,12,0,79.0,66.0,55.0,66.0,23.0,56.0,0,0,0,1,14.508658238524095,A. Aravena,2000000.0,29850.746268656716
27,52,56,4,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,11.289794413577894,A. Arda,80000.0,1509.433962264151
18,53,69,16,0,60.0,28.0,36.0,40.0,52.0,62.0,0,1,0,0,12.301387370778713,A. Aremeyaw,220000.0,4074.074074074074
22,68,78,10,0,66.0,55.0,56.0,66.0,69.0,74.0,0,0,1,0,14.77102238760702,A. Aremu,2600000.0,37681.159420289856
29,81,82,1,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,16.811242881518265,A. Areola,20000000.0,243902.43902439025
31,64,64,0,1,65.0,22.0,41.0,47.0,64.0,60.0,0,1,0,0,12.899222326086994,A. Ariano,400000.0,6153.846153846154
26,71,72,1,0,60.0,65.0,68.0,68.0,73.0,54.0,0,0,1,0,14.603968372873895,A. Arias,2200000.0,30555.555555555555
23,63,70,7,0,90.0,38.0,50.0,60.0,58.0,71.0,0,1,0,0,13.73755009757506,A. Arigoni,925000.0,14453.125
19,53,65,12,0,52.0,56.0,40.0,50.0,21.0,51.0,0,0,0,1,12.301387370778713,A. Arioli,220000.0,4074.074074074074
19,52,68,16,0,66.0,27.0,35.0,48.0,48.0,55.0,0,1,0,0,12.206077645517674,A. Armour,200000.0,3773.5849056603774
25,73,76,3,0,81.0,75.0,65.0,74.0,35.0,67.0,0,0,0,1,15.226497775576945,A. Armstrong,4100000.0,55405.40540540541
29,73,73,0,1,72.0,67.0,72.0,71.0,71.0,79.0,0,0,1,0,14.914123179965662,A. Arregui,3000000.0,40540.54054054054
22,69,80,11,0,70.0,29.0,55.0,60.0,69.0,72.0,0,1,0,0,14.88022163978423,A. Arroyo,2900000.0,41428.57142857143
28,68,68,0,1,67.0,65.0,66.0,70.0,60.0,62.0,0,0,1,0,13.997832948091215,A. Arslan,1200000.0,17391.304347826088
28,67,67,0,1,68.0,64.0,60.0,62.0,64.0,79.0,0,0,1,0,13.710151153416941,A. Artean,900000.0,13235.29411764706
29,69,69,0,1,69.0,64.0,67.0,76.0,33.0,47.0,0,0,1,0,13.73755009757506,A. Asad,925000.0,13214.285714285714
28,64,64,0,1,72.0,61.0,61.0,72.0,28.0,43.0,0,0,1,0,13.304686600863562,A. Aseri,600000.0,9230.76923076923
36,61,61,0,1,71.0,58.0,61.0,65.0,54.0,46.0,0,1,0,0,11.289794413577894,A. Askar,80000.0,1290.3225806451612
20,64,77,13,0,82.0,60.0,61.0,69.0,37.0,52.0,0,0,0,1,14.151983508870947,A. Assal,1400000.0,21538.46153846154
22,56,66,10,0,68.0,25.0,38.0,55.0,51.0,57.0,0,1,0,0,12.611541086966115,A. Astudillo,300000.0,5263.1578947368425
29,66,66,0,1,28.0,46.0,72.0,63.0,65.0,44.0,0,0,1,0,13.493928313146206,A. Ateef,725000.0,10820.89552238806
23,56,64,8,0,62.0,47.0,54.0,57.0,40.0,57.0,0,0,1,0,12.691583538230217,A. Ateş,325000.0,5701.754385964912
30,67,67,0,1,58.0,37.0,46.0,39.0,69.0,72.0,0,1,0,0,13.623139877437296,A. Atouchi,825000.0,12132.35294117647
19,57,69,12,0,69.0,42.0,53.0,57.0,53.0,57.0,0,0,1,0,12.834683971615659,A. Atta,375000.0,6465.517241379311
25,59,64,5,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.524530013005734,A. Attiah,275000.0,4583.333333333333
35,67,67,0,1,31.0,61.0,62.0,58.0,65.0,78.0,0,1,0,0,12.524530013005734,A. Auassar,275000.0,4044.1176470588234
19,61,74,13,0,81.0,31.0,41.0,55.0,58.0,57.0,0,1,0,0,13.527829818844937,A. Aventisian,750000.0,12096.774193548386
21,56,65,9,0,61.0,47.0,59.0,58.0,41.0,47.0,0,0,1,0,12.691583538230217,A. Aydın,325000.0,5701.754385964912
22,60,66,6,0,63.0,52.0,62.0,59.0,50.0,53.0,0,0,1,0,12.899222326086994,A. Aydın,400000.0,6557.377049180328
32,75,75,0,1,69.0,76.0,72.0,77.0,57.0,74.0,0,0,0,1,13.73755009757506,A. Ayew,925000.0,12171.052631578947
