short_name,age,overall,potential,player_positions,position_group,market_value_eur,pace,shooting,passing,dribbling,defending,physic,age_potential_gap,is_at_peak,value_per_rating
A. Al Haizan,21,54,63,ST,ATT,240000.0,76.0,54.0,44.0,52.0,24.0,58.0,9,0,4363.636363636364
A. Al Hajeri,26,56,59,"LB, CDM",DEF,170000.0,65.0,39.0,49.0,52.0,53.0,55.0,3,0,2982.4561403508774
A. Al Hajji,26,60,61,"CM, CDM",MID,300000.0,66.0,56.0,59.0,62.0,51.0,58.0,1,0,4918.0327868852455
A. Al Hamdan,22,62,71,"CF, ST, LW",ATT,900000.0,73.0,60.0,57.0,60.0,34.0,65.0,9,0,14285.714285714286
A. Al Harbi,33,59,59,CB,DEF,110000.0,54.0,37.0,50.0,45.0,60.0,65.0,0,1,1833.3333333333333
A. Al Hassan,18,53,73,"CDM, CM",MID,250000.0,76.0,35.0,45.0,49.0,50.0,67.0,20,0,4629.62962962963
A. Al Hassan,25,66,71,"CDM, CM",MID,1100000.0,66.0,51.0,60.0,63.0,61.0,71.0,5,0,16417.910447761195
A. Al Hejaili,23,58,63,"CAM, RM",MID,300000.0,77.0,49.0,55.0,63.0,39.0,50.0,5,0,5084.745762711865
A. Al Hurabi,25,59,64,"CDM, CM",MID,300000.0,56.0,43.0,51.0,57.0,58.0,58.0,5,0,5000.0
A. Al Hurib,30,59,59,"CDM, CM",MID,190000.0,63.0,47.0,56.0,58.0,56.0,68.0,0,1,3166.6666666666665
A. Al Jadaani,30,61,61,GK,GK,220000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,3548.3870967741937
A. Al Jamaan,26,57,58,"RB, RM",DEF,180000.0,91.0,47.0,47.0,59.0,47.0,55.0,1,0,3103.448275862069
A. Al Jebreen,32,63,63,CDM,MID,325000.0,39.0,58.0,62.0,60.0,62.0,68.0,0,1,5078.125
A. Al Joui,27,65,65,"LM, RM",MID,750000.0,81.0,60.0,59.0,67.0,22.0,45.0,0,1,11363.636363636364
A. Al Khaibari,25,67,72,"CDM, CM",MID,1400000.0,64.0,43.0,59.0,63.0,65.0,70.0,5,0,20588.235294117647
A. Al Khatib,27,63,65,"CB, LB",DEF,500000.0,71.0,26.0,43.0,54.0,61.0,71.0,2,0,7812.5
A. Al Khulaif,25,62,65,"LW, RW, CAM",ATT,525000.0,85.0,49.0,54.0,67.0,22.0,37.0,3,0,8333.333333333334
A. Al Malki,27,69,70,"CDM, CM",MID,1400000.0,66.0,57.0,63.0,63.0,66.0,74.0,1,0,20000.0
A. Al Mayoof,35,70,70,GK,GK,180000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,2535.211267605634
A. Al Mohaimmed,22,56,64,"CB, CDM, LB",DEF,300000.0,59.0,34.0,45.0,49.0,55.0,64.0,8,0,5263.1578947368425
A. Al Muzayil,22,53,62,"RB, RM",DEF,200000.0,69.0,37.0,45.0,53.0,47.0,52.0,9,0,3703.703703703704
A. Al Najjar,25,62,65,"RW, LW",ATT,525000.0,78.0,55.0,60.0,64.0,44.0,54.0,3,0,8333.333333333334
A. Al Nashri,20,56,72,CDM,MID,350000.0,52.0,31.0,47.0,47.0,55.0,65.0,16,0,6140.350877192983
A. Al Nemer,30,59,59,"CAM, RM, LM",MID,220000.0,61.0,50.0,59.0,64.0,43.0,51.0,0,1,3666.6666666666665
A. Al Obaid,29,63,63,LB,DEF,425000.0,74.0,58.0,63.0,64.0,55.0,65.0,0,1,6640.625
A. Al Obud,27,67,67,"RM, LM",MID,1100000.0,87.0,61.0,56.0,69.0,45.0,60.0,0,1,16176.470588235294
A. Al Owayshir,31,62,62,GK,GK,210000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,3333.3333333333335
A. Al Qahtani,29,60,60,"CAM, RM, LM",MID,240000.0,71.0,58.0,58.0,63.0,40.0,54.0,0,1,3934.4262295081967
A. Al Qahtani,23,55,63,"LW, RW",ATT,275000.0,69.0,51.0,50.0,56.0,24.0,52.0,8,0,4910.714285714285
A. Al Ruhaili,27,60,63,GK,GK,240000.0,69.0,55.0,58.0,63.0,56.0,66.0,3,0,3934.4262295081967
A. Al Saeed,25,56,59,"CAM, CM",MID,190000.0,63.0,50.0,54.0,57.0,45.0,56.0,3,0,3333.3333333333335
A. Al Safri,29,62,62,"CDM, CM",MID,350000.0,59.0,36.0,57.0,58.0,56.0,70.0,0,1,5555.555555555556
A. Al Salem,23,56,61,LB,DEF,200000.0,69.0,24.0,48.0,52.0,51.0,58.0,5,0,3508.7719298245615
A. Al Salem,29,62,62,"ST, CAM",ATT,400000.0,61.0,62.0,58.0,60.0,52.0,67.0,0,1,6349.206349206349
A. Al Samtai,25,57,59,CDM,MID,180000.0,62.0,41.0,49.0,49.0,53.0,68.0,2,0,3103.448275862069
A. Al Shaefi,20,52,64,LB,DEF,180000.0,64.0,33.0,45.0,50.0,49.0,48.0,12,0,3396.2264150943397
A. Al Shahrani,27,58,58,"CAM, RW",MID,220000.0,69.0,51.0,58.0,62.0,32.0,52.0,0,1,3728.813559322034
A. Al Shamekh,29,64,64,"LB, RB",DEF,525000.0,76.0,40.0,56.0,62.0,59.0,65.0,0,1,8076.923076923077
A. Al Shammari,30,57,57,GK,GK,110000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,1896.551724137931
A. Al Shammari,20,52,64,"CDM, CM",MID,180000.0,59.0,36.0,48.0,52.0,49.0,57.0,12,0,3396.2264150943397
A. Al Shammari,26,61,62,"LB, LM",DEF,350000.0,75.0,49.0,56.0,63.0,53.0,62.0,1,0,5645.1612903225805
A. Al Shammari,23,59,66,"CAM, LW, CM",MID,450000.0,78.0,49.0,58.0,63.0,33.0,43.0,7,0,7500.0
A. Al Shanqeeti,23,54,62,"CB, RB",DEF,220000.0,63.0,33.0,39.0,48.0,52.0,66.0,8,0,4000.0
A. Al Sulayhim,28,68,68,"CM, CDM",MID,1200000.0,70.0,60.0,67.0,73.0,58.0,63.0,0,1,17391.304347826088
A. Al Sultan,28,58,58,"CDM, CM, RB",MID,180000.0,63.0,44.0,57.0,58.0,53.0,53.0,0,1,3050.8474576271187
A. Al Sultan,22,56,67,CB,DEF,300000.0,58.0,25.0,39.0,40.0,55.0,65.0,11,0,5263.1578947368425
A. Al Yami,25,57,61,ST,ATT,230000.0,84.0,55.0,46.0,58.0,20.0,54.0,4,0,3965.5172413793102
A. Al Yousef,19,51,67,ST,ATT,150000.0,68.0,51.0,40.0,51.0,19.0,49.0,16,0,2884.6153846153848
A. Al Yousef,32,60,60,LB,DEF,170000.0,73.0,45.0,53.0,57.0,55.0,59.0,0,1,2786.8852459016393
A. Al Yousif,25,57,60,"LB, CB",DEF,200000.0,68.0,39.0,50.0,51.0,53.0,65.0,3,0,3448.2758620689656
A. Al Zain,30,66,66,"LW, RW",ATT,825000.0,82.0,60.0,59.0,69.0,42.0,62.0,0,1,12313.432835820895
A. Al Zaqan,31,64,64,"RM, LM, RB",MID,475000.0,84.0,65.0,56.0,65.0,30.0,62.0,0,1,7307.692307692308
A. Al Zori,34,64,64,"CB, LWB, LB",DEF,190000.0,58.0,43.0,55.0,61.0,63.0,69.0,0,1,2923.076923076923
A. Al Zubaidi,29,60,60,RB,DEF,220000.0,70.0,49.0,54.0,55.0,54.0,74.0,0,1,3606.55737704918
A. Al-Ammari,24,63,67,CM,MID,675000.0,68.0,57.0,64.0,63.0,57.0,73.0,4,0,10546.875
A. Al-Dakhil,20,67,77,CB,DEF,2100000.0,69.0,26.0,47.0,54.0,67.0,71.0,10,0,30882.352941176472
A. Al-Hamadi,20,57,68,ST,ATT,375000.0,71.0,56.0,39.0,55.0,18.0,59.0,11,0,6465.517241379311
A. Al-Hamawi,18,58,74,ST,ATT,525000.0,66.0,57.0,40.0,56.0,21.0,57.0,16,0,8898.305084745763
A. Alaaeldin,29,65,65,"ST, RW",ATT,925000.0,81.0,61.0,46.0,65.0,25.0,60.0,0,1,14015.151515151516
A. Albanese,22,66,72,"LM, RM, CAM",MID,1400000.0,77.0,62.0,63.0,72.0,46.0,60.0,6,0,20895.5223880597
A. Albers,32,70,70,ST,ATT,1300000.0,61.0,67.0,45.0,61.0,29.0,75.0,0,1,18309.859154929578
A. Albertsen,17,52,69,GK,GK,170000.0,69.0,55.0,58.0,63.0,56.0,66.0,17,0,3207.5471698113206
A. Albu,28,66,66,"CDM, CB, CM",MID,750000.0,62.0,63.0,63.0,60.0,63.0,76.0,0,1,11194.029850746268
A. Alcaraz,22,60,67,ST,ATT,500000.0,73.0,59.0,48.0,62.0,17.0,44.0,7,0,8196.72131147541
A. Alcorcel,21,61,72,GK,GK,650000.0,69.0,55.0,58.0,63.0,56.0,66.0,11,0,10483.870967741936
A. Alcáraz,39,71,71,CB,DEF,325000.0,31.0,43.0,52.0,60.0,70.0,72.0,0,1,4513.888888888889
A. Alese,21,65,77,"CB, LB",DEF,1700000.0,74.0,34.0,46.0,58.0,64.0,71.0,12,0,25757.575757575756
A. Ali,21,58,68,CB,DEF,425000.0,70.0,34.0,45.0,51.0,56.0,71.0,10,0,7203.389830508475
A. Ali,25,72,75,ST,ATT,925000.0,76.0,74.0,52.0,64.0,23.0,69.0,3,0,12671.232876712329
A. Alipour,26,69,70,ST,ATT,1700000.0,77.0,69.0,54.0,64.0,23.0,65.0,1,0,24285.714285714286
A. Almici,29,66,66,RB,DEF,750000.0,72.0,42.0,62.0,63.0,59.0,74.0,0,1,11194.029850746268
A. Alvarado,18,63,76,CAM,MID,1100000.0,66.0,51.0,66.0,63.0,44.0,46.0,13,0,17187.5
A. Alvarado,23,73,80,"LM, LW, CF",MID,6000000.0,82.0,68.0,68.0,73.0,54.0,69.0,7,0,81081.08108108108
A. Amade,22,64,71,"CM, RM",MID,1200000.0,79.0,40.0,63.0,67.0,63.0,58.0,7,0,18461.53846153846
A. Amenda,18,56,76,CB,DEF,375000.0,64.0,27.0,30.0,33.0,54.0,74.0,20,0,6578.9473684210525
A. Ammitzbøll,23,60,65,ST,ATT,375000.0,81.0,56.0,45.0,61.0,27.0,64.0,5,0,6147.540983606557
A. Amoo,20,66,76,RW,ATT,1900000.0,83.0,57.0,57.0,74.0,25.0,59.0,10,0,28358.20895522388
A. Anani,27,68,68,ST,ATT,1300000.0,90.0,68.0,55.0,67.0,26.0,64.0,0,1,18840.579710144928
A. Anastasio,25,66,68,"LWB, LM",DEF,975000.0,70.0,52.0,65.0,61.0,60.0,60.0,2,0,14552.23880597015
A. Andersen,31,64,64,CB,DEF,400000.0,64.0,48.0,55.0,60.0,62.0,73.0,0,1,6153.846153846154
A. Andersson,31,63,63,GK,GK,250000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,3906.25
A. Andersson,25,67,70,"RB, LB",DEF,1200000.0,75.0,45.0,60.0,65.0,61.0,67.0,3,0,17647.058823529413
A. Andrade,33,72,72,"LM, CM, CAM",MID,1500000.0,77.0,72.0,69.0,73.0,41.0,63.0,0,1,20547.945205479453
A. Andrade,23,69,76,"CB, LWB",DEF,2600000.0,72.0,51.0,59.0,64.0,68.0,75.0,7,0,37142.857142857145
A. Andresen,16,54,74,GK,GK,250000.0,69.0,55.0,58.0,63.0,56.0,66.0,20,0,4545.454545454545
A. Angulo,26,63,68,CB,DEF,625000.0,64.0,26.0,37.0,44.0,63.0,70.0,5,0,9765.625
A. Antilef,23,66,73,"CM, CAM",MID,1700000.0,85.0,59.0,64.0,73.0,53.0,62.0,7,0,25373.13432835821
A. Antunes,21,62,72,"CM, LW, LM",MID,900000.0,70.0,58.0,58.0,67.0,51.0,60.0,10,0,14285.714285714286
A. Anwar,18,46,62,ST,ATT,120000.0,67.0,44.0,35.0,49.0,16.0,42.0,16,0,2553.191489361702
A. Aosman,27,65,66,"CF, CM, CAM",ATT,825000.0,75.0,62.0,63.0,71.0,33.0,64.0,1,0,12500.0
A. Aouchiche,19,71,78,"LM, CAM, CM",MID,3600000.0,68.0,63.0,71.0,73.0,56.0,60.0,7,0,50000.0
A. Appiah,21,65,77,"LM, RM",MID,1800000.0,91.0,61.0,54.0,72.0,28.0,42.0,12,0,27272.727272727272
A. Appindangoye,30,67,67,CB,DEF,825000.0,52.0,45.0,55.0,52.0,69.0,75.0,0,1,12132.35294117647
A. Aranda,27,62,63,ST,ATT,475000.0,61.0,66.0,42.0,58.0,25.0,54.0,1,0,7539.68253968254
A. Araque,33,65,65,"ST, RW, LW",ATT,450000.0,63.0,69.0,56.0,63.0,22.0,62.0,0,1,6818.181818181818
A. Araque,26,68,70,GK,GK,1100000.0,69.0,55.0,58.0,63.0,56.0,66.0,2,0,15942.028985507246
A. Aravena,19,66,78,"ST, RW",ATT,2000000.0,79.0,66.0,55.0,66.0,23.0,56.0,12,0,29850.746268656716
A. Arda,27,52,56,GK,GK,80000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,1509.433962264151
A. Aremeyaw,18,53,69,CB,DEF,220000.0,60.0,28.0,36.0,40.0,52.0,62.0,16,0,4074.074074074074
A. Aremu,22,68,78,"CDM, CM",MID,2600000.0,66.0,55.0,56.0,66.0,69.0,74.0,10,0,37681.159420289856
A. Areola,29,81,82,GK,GK,20000000.0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,243902.43902439025
A. Ariano,31,64,64,CB,DEF,400000.0,65.0,22.0,41.0,47.0,64.0,60.0,0,1,6153.846153846154
A. Arias,26,71,72,"CM, CDM, CAM",MID,2200000.0,60.0,65.0,68.0,68.0,73.0,54.0,1,0,30555.555555555555
A. Arigoni,23,63,70,"RB, CB",DEF,925000.0,90.0,38.0,50.0,60.0,58.0,71.0,7,0,14453.125
A. Arioli,19,53,65,ST,ATT,220000.0,52.0,56.0,40.0,50.0,21.0,51.0,12,0,4074.074074074074
A. Armour,19,52,68,LB,DEF,200000.0,66.0,27.0,35.0,48.0,48.0,55.0,16,0,3773.5849056603774
A. Armstrong,25,73,76,"ST, LM",ATT,4100000.0,81.0,75.0,65.0,74.0,35.0,67.0,3,0,55405.40540540541
A. Arregui,29,73,73,"CM, CDM",MID,3000000.0,72.0,67.0,72.0,71.0,71.0,79.0,0,1,40540.54054054054
A. Arroyo,22,69,80,"CB, RB",DEF,2900000.0,70.0,29.0,55.0,60.0,69.0,72.0,11,0,41428.57142857143
A. Arslan,28,68,68,"CM, CDM, CAM",MID,1200000.0,67.0,65.0,66.0,70.0,60.0,62.0,0,1,17391.304347826088
A. Artean,28,67,67,"CDM, CM, CB",MID,900000.0,68.0,64.0,60.0,62.0,64.0,79.0,0,1,13235.29411764706
A. Asad,29,69,69,"CAM, RW, LW",MID,925000.0,69.0,64.0,67.0,76.0,33.0,47.0,0,1,13214.285714285714
A. Aseri,28,64,64,"RM, CAM",MID,600000.0,72.0,61.0,61.0,72.0,28.0,43.0,0,1,9230.76923076923
A. Askar,36,61,61,"LWB, LB, RB",DEF,80000.0,71.0,58.0,61.0,65.0,54.0,46.0,0,1,1290.3225806451612
A. Assal,20,64,77,"CF, CAM",ATT,1400000.0,82.0,60.0,61.0,69.0,37.0,52.0,13,0,21538.46153846154
A. Astudillo,22,56,66,RB,DEF,300000.0,68.0,25.0,38.0,55.0,51.0,57.0,10,0,5263.1578947368425
A. Ateef,29,66,66,CDM,MID,725000.0,28.0,46.0,72.0,63.0,65.0,44.0,0,1,10820.89552238806
A. Ateş,23,56,64,RM,MID,325000.0,62.0,47.0,54.0,57.0,40.0,57.0,8,0,5701.754385964912
A. Atouchi,30,67,67,CB,DEF,825000.0,58.0,37.0,46.0,39.0,69.0,72.0,0,1,12132.35294117647
A. Atta,19,57,69,CDM,MID,375000.0,69.0,42.0,53.0,57.0,53.0,57.0,12,0,6465.517241379311
A. Attiah,25,59,64,GK,GK,275000.0,69.0,55.0,58.0,63.0,56.0,66.0,5,0,4583.333333333333
A. Auassar,35,67,67,CB,DEF,275000.0,31.0,61.0,62.0,58.0,65.0,78.0,0,1,4044.1176470588234
A. Aventisian,19,61,74,LB,DEF,750000.0,81.0,31.0,41.0,55.0,58.0,57.0,13,0,12096.774193548386
A. Aydın,21,56,65,"CAM, CM, LM",MID,325000.0,61.0,47.0,59.0,58.0,41.0,47.0,9,0,5701.754385964912
A. Aydın,22,60,66,CAM,MID,400000.0,63.0,52.0,62.0,59.0,50.0,53.0,6,0,6557.377049180328
A. Ayew,32,75,75,"ST, RW",ATT,925000.0,69.0,76.0,72.0,77.0,57.0,74.0,0,1,12171.052631578947
A. Azhil,21,64,74,"CDM, CM",MID,1200000.0,67.0,45.0,63.0,65.0,60.0,45.0,10,0,18461.53846153846
A. Ba,23,64,69,"CDM, CM",MID,800000.0,65.0,38.0,55.0,62.0,64.0,67.0,5,0,12307.692307692309
A. Ba,18,64,77,"CM, CAM",MID,1400000.0,72.0,57.0,62.0,69.0,56.0,66.0,13,0,21538.46153846154
A. Ba Loua,25,69,70,RM,MID,1700000.0,86.0,60.0,67.0,71.0,27.0,51.0,1,0,24285.714285714286
A. Ba Masoud,26,64,65,"LB, LM",DEF,625000.0,79.0,49.0,55.0,60.0,56.0,66.0,1,0,9615.384615384615
A. Babacan,24,63,66,"CB, RB",DEF,575000.0,74.0,35.0,46.0,59.0,63.0,64.0,3,0,8984.375
A. Badji,24,68,73,ST,ATT,1800000.0,86.0,68.0,42.0,66.0,26.0,83.0,5,0,26086.956521739132
A. Badolato,17,52,68,"ST, CAM",ATT,200000.0,74.0,51.0,37.0,50.0,18.0,50.0,16,0,3773.5849056603774
A. Bah,24,78,83,"RB, RM",DEF,20000000.0,92.0,64.0,72.0,74.0,72.0,81.0,5,0,253164.55696202532
A. Bahusayn,21,54,64,"CM, CAM",MID,240000.0,64.0,48.0,55.0,57.0,49.0,57.0,10,0,4363.636363636364
A. Bajic,26,68,68,"RM, ST",MID,1300000.0,86.0,65.0,63.0,65.0,50.0,67.0,0,1,18840.579710144928
A. Bakasetas,29,77,77,"CAM, CM",MID,10500000.0,71.0,78.0,77.0,76.0,56.0,74.0,0,1,134615.38461538462
A. Bakayoko,26,65,65,"ST, RW",ATT,800000.0,76.0,63.0,51.0,61.0,44.0,78.0,0,1,12121.212121212122
A. Bakayoko,19,64,76,CB,DEF,1300000.0,77.0,34.0,44.0,54.0,64.0,66.0,12,0,20000.0
A. Bakhat,22,58,64,"CM, CAM",MID,325000.0,67.0,45.0,58.0,63.0,44.0,52.0,6,0,5508.474576271186
A. Bakir,21,63,71,"CAM, LM",MID,1100000.0,73.0,54.0,61.0,69.0,31.0,58.0,8,0,17187.5
A. Balanta,22,65,73,CDM,MID,1500000.0,60.0,43.0,55.0,57.0,63.0,67.0,8,0,22727.272727272728
A. Balbo,20,61,70,"CB, LB",DEF,675000.0,59.0,35.0,46.0,48.0,62.0,61.0,9,0,10887.09677419355
A. Baldi,20,63,78,CDM,MID,1100000.0,54.0,54.0,58.0,62.0,62.0,55.0,15,0,17187.5
A. Baldursson,20,62,74,"CDM, CM",MID,900000.0,55.0,49.0,59.0,62.0,60.0,63.0,12,0,14285.714285714286
